date,product_line,step,device,channel,users,source
2026-06-29,auto,add_payment_info,mobile,affiliate,11,dummy
2026-06-29,auto,purchase,mobile,affiliate,9,dummy
2026-06-29,auto,page_view,mobile,referral,140,dummy
2026-06-29,auto,view_item,mobile,referral,60,dummy
2026-06-29,auto,add_to_cart,mobile,referral,20,dummy
2026-06-29,auto,begin_checkout,mobile,referral,6,dummy
2026-06-29,auto,add_payment_info,mobile,referral,3,dummy
2026-06-29,auto,purchase,mobile,referral,1,dummy
2026-06-29,auto,page_view,desktop,sea,511,dummy
2026-06-29,auto,view_item,desktop,sea,276,dummy
2026-06-29,auto,add_to_cart,desktop,sea,93,dummy
2026-06-29,auto,begin_checkout,desktop,sea,23,dummy
2026-06-29,auto,add_payment_info,desktop,sea,16,dummy
2026-06-29,auto,purchase,desktop,sea,12,dummy
2026-06-29,auto,page_view,desktop,seo,433,dummy
2026-06-29,auto,view_item,desktop,seo,235,dummy
2026-06-29,auto,add_to_cart,desktop,seo,86,dummy
2026-06-29,auto,begin_checkout,desktop,seo,28,dummy
2026-06-29,auto,add_payment_info,desktop,seo,17,dummy
2026-06-29,auto,purchase,desktop,seo,14,dummy
2026-06-29,auto,page_view,desktop,direct,246,dummy
2026-06-29,auto,view_item,desktop,direct,132,dummy
2026-06-29,auto,add_to_cart,desktop,direct,61,dummy
2026-06-29,auto,begin_checkout,desktop,direct,15,dummy
2026-06-29,auto,add_payment_info,desktop,direct,11,dummy
2026-06-29,auto,purchase,desktop,direct,11,dummy
2026-06-29,auto,page_view,desktop,email,114,dummy
2026-06-29,auto,view_item,desktop,email,65,dummy
2026-06-29,auto,add_to_cart,desktop,email,28,dummy
2026-06-29,auto,begin_checkout,desktop,email,6,dummy
2026-06-29,auto,add_payment_info,desktop,email,3,dummy
2026-06-29,auto,purchase,desktop,email,3,dummy
2026-06-29,auto,page_view,desktop,paid_social,113,dummy
2026-06-29,auto,view_item,desktop,paid_social,66,dummy
2026-06-29,auto,add_to_cart,desktop,paid_social,28,dummy
2026-06-29,auto,begin_checkout,desktop,paid_social,6,dummy
2026-06-29,auto,add_payment_info,desktop,paid_social,4,dummy
2026-06-29,auto,purchase,desktop,paid_social,4,dummy
2026-06-29,auto,page_view,desktop,affiliate,160,dummy
2026-06-29,auto,view_item,desktop,affiliate,87,dummy
2026-06-29,auto,add_to_cart,desktop,affiliate,36,dummy
2026-06-29,auto,begin_checkout,desktop,affiliate,12,dummy
2026-06-29,auto,add_payment_info,desktop,affiliate,10,dummy
2026-06-29,auto,purchase,desktop,affiliate,9,dummy
2026-06-29,auto,page_view,desktop,referral,83,dummy
2026-06-29,auto,view_item,desktop,referral,39,dummy
2026-06-29,auto,add_to_cart,desktop,referral,23,dummy
2026-06-29,auto,begin_checkout,desktop,referral,8,dummy
2026-06-29,auto,add_payment_info,desktop,referral,2,dummy
2026-06-29,auto,purchase,desktop,referral,2,dummy
2026-06-29,auto,page_view,tablet,sea,106,dummy
2026-06-29,auto,view_item,tablet,sea,57,dummy
2026-06-29,auto,add_to_cart,tablet,sea,16,dummy
2026-06-29,auto,begin_checkout,tablet,sea,5,dummy
2026-06-29,auto,add_payment_info,tablet,sea,4,dummy
2026-06-29,auto,purchase,tablet,sea,4,dummy
2026-06-29,auto,page_view,tablet,seo,84,dummy
2026-06-29,auto,view_item,tablet,seo,53,dummy
2026-06-29,auto,add_to_cart,tablet,seo,21,dummy
2026-06-29,auto,begin_checkout,tablet,seo,2,dummy
2026-06-29,auto,add_payment_info,tablet,seo,1,dummy
2026-06-29,auto,purchase,tablet,seo,1,dummy
2026-06-29,auto,page_view,tablet,direct,54,dummy
2026-06-29,auto,view_item,tablet,direct,29,dummy
2026-06-29,auto,add_to_cart,tablet,direct,17,dummy
2026-06-29,auto,begin_checkout,tablet,direct,4,dummy
2026-06-29,auto,add_payment_info,tablet,direct,4,dummy
2026-06-29,auto,purchase,tablet,direct,3,dummy
2026-06-29,auto,page_view,tablet,email,33,dummy
2026-06-29,auto,view_item,tablet,email,14,dummy
2026-06-29,auto,add_to_cart,tablet,email,9,dummy
2026-06-29,auto,begin_checkout,tablet,email,4,dummy
2026-06-29,auto,add_payment_info,tablet,email,3,dummy
2026-06-29,auto,purchase,tablet,email,3,dummy
2026-06-29,auto,page_view,tablet,paid_social,24,dummy
2026-06-29,auto,view_item,tablet,paid_social,11,dummy
2026-06-29,auto,add_to_cart,tablet,paid_social,4,dummy
2026-06-29,auto,begin_checkout,tablet,paid_social,1,dummy
2026-06-29,auto,add_payment_info,tablet,paid_social,1,dummy
2026-06-29,auto,purchase,tablet,paid_social,1,dummy
2026-06-29,auto,page_view,tablet,affiliate,34,dummy
2026-06-29,auto,view_item,tablet,affiliate,20,dummy
2026-06-29,auto,add_to_cart,tablet,affiliate,10,dummy
2026-06-29,auto,begin_checkout,tablet,affiliate,3,dummy
2026-06-29,auto,add_payment_info,tablet,affiliate,3,dummy
2026-06-29,auto,purchase,tablet,affiliate,3,dummy
2026-06-29,auto,page_view,tablet,referral,13,dummy
2026-06-29,auto,view_item,tablet,referral,5,dummy
2026-06-29,auto,add_to_cart,tablet,referral,1,dummy
2026-06-29,auto,begin_checkout,tablet,referral,0,dummy
2026-06-29,auto,add_payment_info,tablet,referral,0,dummy
2026-06-29,auto,purchase,tablet,referral,0,dummy
2026-06-30,auto,page_view,mobile,sea,909,dummy
2026-06-30,auto,view_item,mobile,sea,302,dummy
2026-06-30,auto,add_to_cart,mobile,sea,100,dummy
2026-06-30,auto,begin_checkout,mobile,sea,26,dummy
2026-06-30,auto,add_payment_info,mobile,sea,21,dummy
2026-06-30,auto,purchase,mobile,sea,17,dummy
2026-06-30,auto,page_view,mobile,seo,801,dummy
2026-06-30,auto,view_item,mobile,seo,305,dummy
2026-06-30,auto,add_to_cart,mobile,seo,130,dummy
2026-06-30,auto,begin_checkout,mobile,seo,38,dummy
2026-06-30,auto,add_payment_info,mobile,seo,24,dummy
2026-06-30,auto,purchase,mobile,seo,19,dummy
2026-06-30,auto,page_view,mobile,direct,451,dummy
2026-06-30,auto,view_item,mobile,direct,180,dummy
2026-06-30,auto,add_to_cart,mobile,direct,94,dummy
2026-06-30,auto,begin_checkout,mobile,direct,29,dummy
2026-06-30,auto,add_payment_info,mobile,direct,20,dummy
2026-06-30,auto,purchase,mobile,direct,15,dummy
2026-06-30,auto,page_view,mobile,email,246,dummy
2026-06-30,auto,view_item,mobile,email,75,dummy
2026-06-30,auto,add_to_cart,mobile,email,27,dummy
2026-06-30,auto,begin_checkout,mobile,email,10,dummy
2026-06-30,auto,add_payment_info,mobile,email,7,dummy
2026-06-30,auto,purchase,mobile,email,5,dummy
2026-06-30,auto,page_view,mobile,paid_social,221,dummy
2026-06-30,auto,view_item,mobile,paid_social,98,dummy
2026-06-30,auto,add_to_cart,mobile,paid_social,48,dummy
2026-06-30,auto,begin_checkout,mobile,paid_social,13,dummy
2026-06-30,auto,add_payment_info,mobile,paid_social,10,dummy
2026-06-30,auto,purchase,mobile,paid_social,6,dummy
2026-06-30,auto,page_view,mobile,affiliate,307,dummy
2026-06-30,auto,view_item,mobile,affiliate,110,dummy
2026-06-30,auto,add_to_cart,mobile,affiliate,50,dummy
2026-06-30,auto,begin_checkout,mobile,affiliate,14,dummy
2026-06-30,auto,add_payment_info,mobile,affiliate,8,dummy
2026-06-30,auto,purchase,mobile,affiliate,6,dummy
2026-06-30,auto,page_view,mobile,referral,170,dummy
2026-06-30,auto,view_item,mobile,referral,62,dummy
2026-06-30,auto,add_to_cart,mobile,referral,21,dummy
2026-06-30,auto,begin_checkout,mobile,referral,6,dummy
2026-06-30,auto,add_payment_info,mobile,referral,5,dummy
2026-06-30,auto,purchase,mobile,referral,4,dummy
2026-06-30,auto,page_view,desktop,sea,536,dummy
2026-06-30,auto,view_item,desktop,sea,304,dummy
2026-06-30,auto,add_to_cart,desktop,sea,110,dummy
2026-06-30,auto,begin_checkout,desktop,sea,31,dummy
2026-06-30,auto,add_payment_info,desktop,sea,22,dummy
2026-06-30,auto,purchase,desktop,sea,16,dummy
2026-06-30,auto,page_view,desktop,seo,406,dummy
2026-06-30,auto,view_item,desktop,seo,227,dummy
2026-06-30,auto,add_to_cart,desktop,seo,96,dummy
2026-06-30,auto,begin_checkout,desktop,seo,29,dummy
2026-06-30,auto,add_payment_info,desktop,seo,21,dummy
2026-06-30,auto,purchase,desktop,seo,17,dummy
2026-06-30,auto,page_view,desktop,direct,224,dummy
2026-06-30,auto,view_item,desktop,direct,124,dummy
2026-06-30,auto,add_to_cart,desktop,direct,47,dummy
2026-06-30,auto,begin_checkout,desktop,direct,8,dummy
2026-06-30,auto,add_payment_info,desktop,direct,6,dummy
2026-06-30,auto,purchase,desktop,direct,5,dummy
2026-06-30,auto,page_view,desktop,email,126,dummy
2026-06-30,auto,view_item,desktop,email,70,dummy
2026-06-30,auto,add_to_cart,desktop,email,40,dummy
2026-06-30,auto,begin_checkout,desktop,email,12,dummy
2026-06-30,auto,add_payment_info,desktop,email,7,dummy
2026-06-30,auto,purchase,desktop,email,7,dummy
2026-06-30,auto,page_view,desktop,paid_social,122,dummy
2026-06-30,auto,view_item,desktop,paid_social,57,dummy
2026-06-30,auto,add_to_cart,desktop,paid_social,23,dummy
2026-06-30,auto,begin_checkout,desktop,paid_social,6,dummy
2026-06-30,auto,add_payment_info,desktop,paid_social,4,dummy
2026-06-30,auto,purchase,desktop,paid_social,4,dummy
2026-06-30,auto,page_view,desktop,affiliate,179,dummy
2026-06-30,auto,view_item,desktop,affiliate,104,dummy
2026-06-30,auto,add_to_cart,desktop,affiliate,56,dummy
2026-06-30,auto,begin_checkout,desktop,affiliate,16,dummy
2026-06-30,auto,add_payment_info,desktop,affiliate,8,dummy
2026-06-30,auto,purchase,desktop,affiliate,5,dummy
2026-06-30,auto,page_view,desktop,referral,90,dummy
2026-06-30,auto,view_item,desktop,referral,45,dummy
2026-06-30,auto,add_to_cart,desktop,referral,18,dummy
2026-06-30,auto,begin_checkout,desktop,referral,6,dummy
2026-06-30,auto,add_payment_info,desktop,referral,5,dummy
2026-06-30,auto,purchase,desktop,referral,3,dummy
2026-06-30,auto,page_view,tablet,sea,108,dummy
2026-06-30,auto,view_item,tablet,sea,56,dummy
2026-06-30,auto,add_to_cart,tablet,sea,20,dummy
2026-06-30,auto,begin_checkout,tablet,sea,6,dummy
2026-06-30,auto,add_payment_info,tablet,sea,4,dummy
2026-06-30,auto,purchase,tablet,sea,3,dummy
2026-06-30,auto,page_view,tablet,seo,80,dummy
2026-06-30,auto,view_item,tablet,seo,44,dummy
2026-06-30,auto,add_to_cart,tablet,seo,20,dummy
2026-06-30,auto,begin_checkout,tablet,seo,6,dummy
2026-06-30,auto,add_payment_info,tablet,seo,2,dummy
2026-06-30,auto,purchase,tablet,seo,2,dummy
2026-06-30,auto,page_view,tablet,direct,64,dummy
2026-06-30,auto,view_item,tablet,direct,41,dummy
2026-06-30,auto,add_to_cart,tablet,direct,15,dummy
2026-06-30,auto,begin_checkout,tablet,direct,4,dummy
2026-06-30,auto,add_payment_info,tablet,direct,2,dummy
2026-06-30,auto,purchase,tablet,direct,2,dummy
2026-06-30,auto,page_view,tablet,email,26,dummy
2026-06-30,auto,view_item,tablet,email,10,dummy
2026-06-30,auto,add_to_cart,tablet,email,6,dummy
2026-06-30,auto,begin_checkout,tablet,email,0,dummy
2026-06-30,auto,add_payment_info,tablet,email,0,dummy
2026-06-30,auto,purchase,tablet,email,0,dummy
2026-06-30,auto,page_view,tablet,paid_social,22,dummy
2026-06-30,auto,view_item,tablet,paid_social,16,dummy
2026-06-30,auto,add_to_cart,tablet,paid_social,7,dummy
2026-06-30,auto,begin_checkout,tablet,paid_social,2,dummy
2026-06-30,auto,add_payment_info,tablet,paid_social,2,dummy
2026-06-30,auto,purchase,tablet,paid_social,1,dummy
2026-06-30,auto,page_view,tablet,affiliate,33,dummy
2026-06-30,auto,view_item,tablet,affiliate,22,dummy
2026-06-30,auto,add_to_cart,tablet,affiliate,11,dummy
2026-06-30,auto,begin_checkout,tablet,affiliate,3,dummy
2026-06-30,auto,add_payment_info,tablet,affiliate,2,dummy
2026-06-30,auto,purchase,tablet,affiliate,2,dummy
2026-06-30,auto,page_view,tablet,referral,16,dummy
2026-06-30,auto,view_item,tablet,referral,6,dummy
2026-06-30,auto,add_to_cart,tablet,referral,4,dummy
2026-06-30,auto,begin_checkout,tablet,referral,2,dummy
2026-06-30,auto,add_payment_info,tablet,referral,1,dummy
2026-06-30,auto,purchase,tablet,referral,1,dummy
2026-07-01,auto,page_view,mobile,sea,909,dummy
2026-07-01,auto,view_item,mobile,sea,349,dummy
2026-07-01,auto,add_to_cart,mobile,sea,110,dummy
2026-07-01,auto,begin_checkout,mobile,sea,39,dummy
2026-07-01,auto,add_payment_info,mobile,sea,27,dummy
2026-07-01,auto,purchase,mobile,sea,17,dummy
2026-07-01,auto,page_view,mobile,seo,797,dummy
2026-07-01,auto,view_item,mobile,seo,301,dummy
2026-07-01,auto,add_to_cart,mobile,seo,126,dummy
2026-07-01,auto,begin_checkout,mobile,seo,42,dummy
2026-07-01,auto,add_payment_info,mobile,seo,26,dummy
2026-07-01,auto,purchase,mobile,seo,20,dummy
2026-07-01,auto,page_view,mobile,direct,458,dummy
2026-07-01,auto,view_item,mobile,direct,181,dummy
2026-07-01,auto,add_to_cart,mobile,direct,76,dummy
2026-07-01,auto,begin_checkout,mobile,direct,22,dummy
2026-07-01,auto,add_payment_info,mobile,direct,13,dummy
2026-07-01,auto,purchase,mobile,direct,12,dummy
2026-07-01,auto,page_view,mobile,email,230,dummy
2026-07-01,auto,view_item,mobile,email,97,dummy
2026-07-01,auto,add_to_cart,mobile,email,40,dummy
2026-07-01,auto,begin_checkout,mobile,email,12,dummy
2026-07-01,auto,add_payment_info,mobile,email,10,dummy
2026-07-01,auto,purchase,mobile,email,7,dummy
2026-07-01,auto,page_view,mobile,paid_social,217,dummy
2026-07-01,auto,view_item,mobile,paid_social,71,dummy
2026-07-01,auto,add_to_cart,mobile,paid_social,35,dummy
2026-07-01,auto,begin_checkout,mobile,paid_social,10,dummy
2026-07-01,auto,add_payment_info,mobile,paid_social,5,dummy
2026-07-01,auto,purchase,mobile,paid_social,5,dummy
2026-07-01,auto,page_view,mobile,affiliate,313,dummy
2026-07-01,auto,view_item,mobile,affiliate,113,dummy
2026-07-01,auto,add_to_cart,mobile,affiliate,53,dummy
2026-07-01,auto,begin_checkout,mobile,affiliate,15,dummy
2026-07-01,auto,add_payment_info,mobile,affiliate,10,dummy
2026-07-01,auto,purchase,mobile,affiliate,9,dummy
2026-07-01,auto,page_view,mobile,referral,130,dummy
2026-07-01,auto,view_item,mobile,referral,57,dummy
2026-07-01,auto,add_to_cart,mobile,referral,27,dummy
2026-07-01,auto,begin_checkout,mobile,referral,8,dummy
2026-07-01,auto,add_payment_info,mobile,referral,4,dummy
2026-07-01,auto,purchase,mobile,referral,4,dummy
2026-07-01,auto,page_view,desktop,sea,456,dummy
2026-07-01,auto,view_item,desktop,sea,249,dummy
2026-07-01,auto,add_to_cart,desktop,sea,94,dummy
2026-07-01,auto,begin_checkout,desktop,sea,28,dummy
2026-07-01,auto,add_payment_info,desktop,sea,16,dummy
2026-07-01,auto,purchase,desktop,sea,10,dummy
2026-07-01,auto,page_view,desktop,seo,406,dummy
2026-07-01,auto,view_item,desktop,seo,225,dummy
2026-07-01,auto,add_to_cart,desktop,seo,106,dummy
2026-07-01,auto,begin_checkout,desktop,seo,30,dummy
2026-07-01,auto,add_payment_info,desktop,seo,20,dummy
2026-07-01,auto,purchase,desktop,seo,12,dummy
2026-07-01,auto,page_view,desktop,direct,235,dummy
2026-07-01,auto,view_item,desktop,direct,125,dummy
2026-07-01,auto,add_to_cart,desktop,direct,65,dummy
2026-07-01,auto,begin_checkout,desktop,direct,16,dummy
2026-07-01,auto,add_payment_info,desktop,direct,12,dummy
2026-07-01,auto,purchase,desktop,direct,11,dummy
2026-07-01,auto,page_view,desktop,email,150,dummy
2026-07-01,auto,view_item,desktop,email,81,dummy
2026-07-01,auto,add_to_cart,desktop,email,40,dummy
2026-07-01,auto,begin_checkout,desktop,email,11,dummy
2026-07-01,auto,add_payment_info,desktop,email,9,dummy
2026-07-01,auto,purchase,desktop,email,5,dummy
2026-07-01,auto,page_view,desktop,paid_social,126,dummy
2026-07-01,auto,view_item,desktop,paid_social,72,dummy
2026-07-01,auto,add_to_cart,desktop,paid_social,31,dummy
2026-07-01,auto,begin_checkout,desktop,paid_social,9,dummy
2026-07-01,auto,add_payment_info,desktop,paid_social,6,dummy
2026-07-01,auto,purchase,desktop,paid_social,0,dummy
2026-07-01,auto,page_view,desktop,affiliate,146,dummy
2026-07-01,auto,view_item,desktop,affiliate,87,dummy
2026-07-01,auto,add_to_cart,desktop,affiliate,44,dummy
2026-07-01,auto,begin_checkout,desktop,affiliate,13,dummy
2026-07-01,auto,add_payment_info,desktop,affiliate,6,dummy
2026-07-01,auto,purchase,desktop,affiliate,6,dummy
2026-07-01,auto,page_view,desktop,referral,85,dummy
2026-07-01,auto,view_item,desktop,referral,47,dummy
2026-07-01,auto,add_to_cart,desktop,referral,21,dummy
2026-07-01,auto,begin_checkout,desktop,referral,4,dummy
2026-07-01,auto,add_payment_info,desktop,referral,2,dummy
2026-07-01,auto,purchase,desktop,referral,1,dummy
2026-07-01,auto,page_view,tablet,sea,119,dummy
2026-07-01,auto,view_item,tablet,sea,58,dummy
2026-07-01,auto,add_to_cart,tablet,sea,19,dummy
2026-07-01,auto,begin_checkout,tablet,sea,9,dummy
2026-07-01,auto,add_payment_info,tablet,sea,5,dummy
2026-07-01,auto,purchase,tablet,sea,1,dummy
2026-07-01,auto,page_view,tablet,seo,87,dummy
2026-07-01,auto,view_item,tablet,seo,43,dummy
2026-07-01,auto,add_to_cart,tablet,seo,18,dummy
2026-07-01,auto,begin_checkout,tablet,seo,3,dummy
2026-07-01,auto,add_payment_info,tablet,seo,0,dummy
2026-07-01,auto,purchase,tablet,seo,0,dummy
2026-07-01,auto,page_view,tablet,direct,51,dummy
2026-07-01,auto,view_item,tablet,direct,31,dummy
2026-07-01,auto,add_to_cart,tablet,direct,12,dummy
2026-07-01,auto,begin_checkout,tablet,direct,2,dummy
2026-07-01,auto,add_payment_info,tablet,direct,1,dummy
2026-07-01,auto,purchase,tablet,direct,1,dummy
2026-07-01,auto,page_view,tablet,email,29,dummy
2026-07-01,auto,view_item,tablet,email,18,dummy
2026-07-01,auto,add_to_cart,tablet,email,10,dummy
2026-07-01,auto,begin_checkout,tablet,email,2,dummy
2026-07-01,auto,add_payment_info,tablet,email,1,dummy
2026-07-01,auto,purchase,tablet,email,1,dummy
2026-07-01,auto,page_view,tablet,paid_social,33,dummy
2026-07-01,auto,view_item,tablet,paid_social,19,dummy
2026-07-01,auto,add_to_cart,tablet,paid_social,8,dummy
2026-07-01,auto,begin_checkout,tablet,paid_social,4,dummy
2026-07-01,auto,add_payment_info,tablet,paid_social,3,dummy
2026-07-01,auto,purchase,tablet,paid_social,0,dummy
2026-07-01,auto,page_view,tablet,affiliate,38,dummy
2026-07-01,auto,view_item,tablet,affiliate,21,dummy
2026-07-01,auto,add_to_cart,tablet,affiliate,10,dummy
2026-07-01,auto,begin_checkout,tablet,affiliate,3,dummy
2026-07-01,auto,add_payment_info,tablet,affiliate,1,dummy
2026-07-01,auto,purchase,tablet,affiliate,0,dummy
2026-07-01,auto,page_view,tablet,referral,24,dummy
2026-07-01,auto,view_item,tablet,referral,15,dummy
2026-07-01,auto,add_to_cart,tablet,referral,7,dummy
2026-07-01,auto,begin_checkout,tablet,referral,2,dummy
2026-07-01,auto,add_payment_info,tablet,referral,2,dummy
2026-07-01,auto,purchase,tablet,referral,2,dummy
2026-07-02,auto,page_view,mobile,sea,914,dummy
2026-07-02,auto,view_item,mobile,sea,372,dummy
2026-07-02,auto,add_to_cart,mobile,sea,116,dummy
2026-07-02,auto,begin_checkout,mobile,sea,45,dummy
2026-07-02,auto,add_payment_info,mobile,sea,31,dummy
2026-07-02,auto,purchase,mobile,sea,29,dummy
2026-07-02,auto,page_view,mobile,seo,743,dummy
2026-07-02,auto,view_item,mobile,seo,305,dummy
2026-07-02,auto,add_to_cart,mobile,seo,152,dummy
2026-07-02,auto,begin_checkout,mobile,seo,47,dummy
2026-07-02,auto,add_payment_info,mobile,seo,33,dummy
2026-07-02,auto,purchase,mobile,seo,20,dummy
2026-07-02,auto,page_view,mobile,direct,396,dummy
2026-07-02,auto,view_item,mobile,direct,148,dummy
2026-07-02,auto,add_to_cart,mobile,direct,77,dummy
2026-07-02,auto,begin_checkout,mobile,direct,25,dummy
2026-07-02,auto,add_payment_info,mobile,direct,18,dummy
2026-07-02,auto,purchase,mobile,direct,17,dummy
2026-07-02,auto,page_view,mobile,email,215,dummy
2026-07-02,auto,view_item,mobile,email,72,dummy
2026-07-02,auto,add_to_cart,mobile,email,37,dummy
2026-07-02,auto,begin_checkout,mobile,email,8,dummy
2026-07-02,auto,add_payment_info,mobile,email,8,dummy
2026-07-02,auto,purchase,mobile,email,7,dummy
2026-07-02,auto,page_view,mobile,paid_social,208,dummy
2026-07-02,auto,view_item,mobile,paid_social,76,dummy
2026-07-02,auto,add_to_cart,mobile,paid_social,32,dummy
2026-07-02,auto,begin_checkout,mobile,paid_social,10,dummy
2026-07-02,auto,add_payment_info,mobile,paid_social,7,dummy
2026-07-02,auto,purchase,mobile,paid_social,6,dummy
2026-07-02,auto,page_view,mobile,affiliate,282,dummy
2026-07-02,auto,view_item,mobile,affiliate,101,dummy
2026-07-02,auto,add_to_cart,mobile,affiliate,52,dummy
2026-07-02,auto,begin_checkout,mobile,affiliate,14,dummy
2026-07-02,auto,add_payment_info,mobile,affiliate,10,dummy
2026-07-02,auto,purchase,mobile,affiliate,9,dummy
2026-07-02,auto,page_view,mobile,referral,171,dummy
2026-07-02,auto,view_item,mobile,referral,61,dummy
2026-07-02,auto,add_to_cart,mobile,referral,23,dummy
2026-07-02,auto,begin_checkout,mobile,referral,5,dummy
2026-07-02,auto,add_payment_info,mobile,referral,2,dummy
2026-07-02,auto,purchase,mobile,referral,2,dummy
2026-07-02,auto,page_view,desktop,sea,474,dummy
2026-07-02,auto,view_item,desktop,sea,265,dummy
2026-07-02,auto,add_to_cart,desktop,sea,94,dummy
2026-07-02,auto,begin_checkout,desktop,sea,25,dummy
2026-07-02,auto,add_payment_info,desktop,sea,18,dummy
2026-07-02,auto,purchase,desktop,sea,17,dummy
2026-07-02,auto,page_view,desktop,seo,435,dummy
2026-07-02,auto,view_item,desktop,seo,235,dummy
2026-07-02,auto,add_to_cart,desktop,seo,105,dummy
2026-07-02,auto,begin_checkout,desktop,seo,27,dummy
2026-07-02,auto,add_payment_info,desktop,seo,17,dummy
2026-07-02,auto,purchase,desktop,seo,13,dummy
2026-07-02,auto,page_view,desktop,direct,248,dummy
2026-07-02,auto,view_item,desktop,direct,141,dummy
2026-07-02,auto,add_to_cart,desktop,direct,79,dummy
2026-07-02,auto,begin_checkout,desktop,direct,31,dummy
2026-07-02,auto,add_payment_info,desktop,direct,19,dummy
2026-07-02,auto,purchase,desktop,direct,16,dummy
2026-07-02,auto,page_view,desktop,email,116,dummy
2026-07-02,auto,view_item,desktop,email,66,dummy
2026-07-02,auto,add_to_cart,desktop,email,30,dummy
2026-07-02,auto,begin_checkout,desktop,email,8,dummy
2026-07-02,auto,add_payment_info,desktop,email,6,dummy
2026-07-02,auto,purchase,desktop,email,6,dummy
2026-07-02,auto,page_view,desktop,paid_social,98,dummy
2026-07-02,auto,view_item,desktop,paid_social,55,dummy
2026-07-02,auto,add_to_cart,desktop,paid_social,27,dummy
2026-07-02,auto,begin_checkout,desktop,paid_social,6,dummy
2026-07-02,auto,add_payment_info,desktop,paid_social,4,dummy
2026-07-02,auto,purchase,desktop,paid_social,3,dummy
2026-07-02,auto,page_view,desktop,affiliate,152,dummy
2026-07-02,auto,view_item,desktop,affiliate,92,dummy
2026-07-02,auto,add_to_cart,desktop,affiliate,34,dummy
2026-07-02,auto,begin_checkout,desktop,affiliate,14,dummy
2026-07-02,auto,add_payment_info,desktop,affiliate,8,dummy
2026-07-02,auto,purchase,desktop,affiliate,7,dummy
2026-07-02,auto,page_view,desktop,referral,75,dummy
2026-07-02,auto,view_item,desktop,referral,37,dummy
2026-07-02,auto,add_to_cart,desktop,referral,13,dummy
2026-07-02,auto,begin_checkout,desktop,referral,3,dummy
2026-07-02,auto,add_payment_info,desktop,referral,0,dummy
2026-07-02,auto,purchase,desktop,referral,0,dummy
2026-07-02,auto,page_view,tablet,sea,110,dummy
2026-07-02,auto,view_item,tablet,sea,53,dummy
2026-07-02,auto,add_to_cart,tablet,sea,21,dummy
2026-07-02,auto,begin_checkout,tablet,sea,4,dummy
2026-07-02,auto,add_payment_info,tablet,sea,3,dummy
2026-07-02,auto,purchase,tablet,sea,3,dummy
2026-07-02,auto,page_view,tablet,seo,99,dummy
2026-07-02,auto,view_item,tablet,seo,41,dummy
2026-07-02,auto,add_to_cart,tablet,seo,26,dummy
2026-07-02,auto,begin_checkout,tablet,seo,5,dummy
2026-07-02,auto,add_payment_info,tablet,seo,3,dummy
2026-07-02,auto,purchase,tablet,seo,1,dummy
2026-07-02,auto,page_view,tablet,direct,49,dummy
2026-07-02,auto,view_item,tablet,direct,24,dummy
2026-07-02,auto,add_to_cart,tablet,direct,12,dummy
2026-07-02,auto,begin_checkout,tablet,direct,1,dummy
2026-07-02,auto,add_payment_info,tablet,direct,1,dummy
2026-07-02,auto,purchase,tablet,direct,0,dummy
2026-07-02,auto,page_view,tablet,email,24,dummy
2026-07-02,auto,view_item,tablet,email,16,dummy
2026-07-02,auto,add_to_cart,tablet,email,9,dummy
